train_loss,val_loss,val_acc
9.168280720569744746e-01,7.310915455225419635e-01,9.260322366968425367e-01
6.856499068303285593e-01,6.564652121311835842e-01,9.553985427246632911e-01
6.398424746777561234e-01,6.214694283239676764e-01,9.665489070434974961e-01
6.138636485577645407e-01,6.024049066318057921e-01,9.725104879664384638e-01
5.953544513057359433e-01,5.966044959839829076e-01,9.757120777213512675e-01
5.804458949592397055e-01,5.835866952579420452e-01,9.794656657098697039e-01
5.705801022963684632e-01,5.790996316990648651e-01,9.812320600574078178e-01
5.660577222109123285e-01,5.755090152330286646e-01,9.806800618238021849e-01
5.629310421749635918e-01,5.733784379272646170e-01,9.815632589975712419e-01
5.607136922495173925e-01,5.723099943211757967e-01,9.825568558180614032e-01
5.820852941927515678e-01,5.858522261391940766e-01,9.784720688893795426e-01
5.735643451535902271e-01,5.821554580648679034e-01,9.784720688893795426e-01
5.652408826145292053e-01,5.838813921372920657e-01,9.793552660631485995e-01
5.613649109054575925e-01,6.120890546224059259e-01,9.654449105762861194e-01
5.546668228342765961e-01,5.726268694584509822e-01,9.826672554647825075e-01
5.503655769990244417e-01,5.778133360248286499e-01,9.806800618238021849e-01
5.472055670863662513e-01,5.685231594961456247e-01,9.817840582910134506e-01
5.441066695297471778e-01,5.619294711179516622e-01,9.857584455729740958e-01
5.413243884647712667e-01,5.687079253931607292e-01,9.817840582910134506e-01
5.380233302673662621e-01,5.610709533203934729e-01,9.852064473393684629e-01
5.354578583579495676e-01,5.571045289768186137e-01,9.864208434533009440e-01
5.340059287276762712e-01,5.570091493715643161e-01,9.871936409803488965e-01
5.321040077725003314e-01,5.563448437609455066e-01,9.881872378008390578e-01
5.313278299148466166e-01,5.571035267264934365e-01,9.877456392139545294e-01
5.302068699892458215e-01,5.548562038863408263e-01,9.879664385073967381e-01
5.296022450385263758e-01,5.545727759040357530e-01,9.884080370942812666e-01
5.289126482082084912e-01,5.538872914299529659e-01,9.881872378008390578e-01
5.282365214974146239e-01,5.534079893847705378e-01,9.888496356811657950e-01
5.285129004007595999e-01,5.536347569996064033e-01,9.885184367410023709e-01
5.274186139781339433e-01,5.533828464373502509e-01,9.886288363877235863e-01
5.555030201833411896e-01,5.946798521994912656e-01,9.730624862000440967e-01
5.484130085205564109e-01,5.690060851984030110e-01,9.839920512254360929e-01
5.411118866056591203e-01,5.638432630010197233e-01,9.857584455729740958e-01
5.411921318129554459e-01,5.910911034684909193e-01,9.717376904393906223e-01
5.389160125256148293e-01,5.634847685421611185e-01,9.845440494590417257e-01
5.358193062765818082e-01,5.721540694127258408e-01,9.817840582910134506e-01
