model_name,pytorch_test_accuracy,pytorch_validation_accuracy,pytorch_param_count,pytorch_size_mb,pytorch_inference_time_ms,pytorch_inference_std_ms,epochs_trained,tflite_accuracy,tflite_accuracy_ci_low,tflite_accuracy_ci_high,tflite_size_mb,tflite_inference_time_ms,tflite_throughput_fps,tflite_samples,accuracy_loss,compression_ratio,speedup_ratio
MobileNetV3_small,0.988078154321669,"tensor(0.9888, device='cuda:0', dtype=torch.float64)",1529131,17.746227264404297,5.109915733337402,2.270457087003711,27,0.9874158295617618,0.9849049216752362,0.9895135212113745,1.6491012573242188,9.23794312566068,108.24920508790012,9059,0.0006623247599072402,10.761150769600881,0.553144316199928
EfficientNet_B0,0.9887404790815764,"tensor(0.9896, device='cuda:0', dtype=torch.float64)",4021639,46.48761177062988,6.8602705001831055,1.4733371070059047,8,0.9866431173418699,0.984064347286134,0.9888093262424863,4.347846984863281,50.59764471810995,19.763765795250134,9059,0.002097361739706427,10.692099315471125,0.13558477945768238
MobileNetV1,0.9594878021856718,"tensor(0.9592, device='cuda:0', dtype=torch.float64)",3218251,37.04169273376465,3.2854366302490234,1.464301754754264,62,0.9573904404459653,0.9530336836608916,0.9613594356009522,3.24261474609375,30.172166504308816,33.143128779207565,9059,0.002097361739706427,11.423402295442996,0.10888964933226913
ShuffleNetV2_x1_0,0.9860911800419472,"tensor(0.9859, device='cuda:0', dtype=torch.float64)",1264879,14.778190612792969,5.925874710083008,1.6540735792636023,28,0.9853184678220555,0.9826279489255123,0.987597548560839,3.7728042602539062,16.049741001131256,62.30630138701401,9059,0.0007727122198917247,3.917030832603653,0.36921933566811616
MobileNetV3_Attention,0.9857600176619936,"tensor(0.9870, device='cuda:0', dtype=torch.float64)",3145627,23.968984603881836,5.334982872009277,2.1535486463551274,25,0.9843249806821945,0.9815540644427757,0.9866853010118738,1.661285400390625,9.29944053866345,107.53335061850115,9059,0.0014350369797990759,14.427975228245495,0.5736885837194718
